STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -5.156355
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -5.139018
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -5.104199
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.079843
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.059090
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.039656
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -5.005736
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000014, -0.000000, -4.981626
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -4.959753
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000011, -0.000000, -4.942174
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -4.907603
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -4.883128
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -4.862371
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -4.843066
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -4.810257
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -4.784939
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -4.762906
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000011, -0.000000, -4.744107
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -4.711013
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -4.686584
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -4.665927
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -4.646419
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -4.613546
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -4.588215
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -4.566334
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000011, -0.000000, -4.548631
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -4.514263
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -4.489799
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -4.469143
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -4.449790
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -4.416978
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -4.391549
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -4.369592
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -4.352286
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000005, -0.000176, -4.813428
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000003, 0.000250, -4.390419
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000003, -0.000000, -4.385536
STEERING (cc, dc, e, i, d, s): -0.000032, 0.000000, 0.000032, 0.000003, -0.000000, -4.380687
