STEERING (cc, dc, e, i, d, s): 0.090008, 0.049766, -0.040243, -0.002550, -0.000000, -14.057846
STEERING (cc, dc, e, i, d, s): 0.093314, 0.049766, -0.043549, -0.002914, 0.000000, -21.838413
STEERING (cc, dc, e, i, d, s): 0.097476, 0.071961, -0.025516, -0.001680, 0.000000, -1.381097
STEERING (cc, dc, e, i, d, s): 0.099345, 0.081098, -0.018247, -0.000977, -0.000000, 6.490127
STEERING (cc, dc, e, i, d, s): 0.099719, 0.069803, -0.029916, -0.001467, -0.000000, -9.943277
STEERING (cc, dc, e, i, d, s): 0.098758, 0.069803, -0.028955, -0.002473, 0.000000, -11.833967
STEERING (cc, dc, e, i, d, s): 0.095768, 0.076216, -0.019552, -0.001285, 0.000000, -1.678638
STEERING (cc, dc, e, i, d, s): 0.094061, 0.075253, -0.018808, -0.001084, -0.000000, -2.103871
STEERING (cc, dc, e, i, d, s): 0.090968, 0.075253, -0.015715, -0.000710, 0.000000, 0.877246
STEERING (cc, dc, e, i, d, s): 0.087290, 0.067438, -0.019852, -0.001813, -0.000000, -6.566531
STEERING (cc, dc, e, i, d, s): 0.082498, 0.067438, -0.015059, -0.000980, 0.000000, -1.796317
STEERING (cc, dc, e, i, d, s): 0.079358, 0.063751, -0.015607, -0.000815, -0.000000, -3.500776
STEERING (cc, dc, e, i, d, s): 0.077230, 0.063751, -0.013479, -0.000751, 0.000000, -1.778743
STEERING (cc, dc, e, i, d, s): 0.073136, 0.053653, -0.019483, -0.001567, -0.000000, -11.250317
STEERING (cc, dc, e, i, d, s): 0.069417, 0.053653, -0.015764, -0.001036, 0.000000, -7.894096
STEERING (cc, dc, e, i, d, s): 0.067770, 0.065450, -0.002321, -0.000135, 0.000000, 8.754070
STEERING (cc, dc, e, i, d, s): 0.065540, 0.065450, -0.000091, -0.000004, -0.000000, 11.538824
STEERING (cc, dc, e, i, d, s): 0.063523, 0.045825, -0.017699, -0.001606, -0.000000, -12.497805
STEERING (cc, dc, e, i, d, s): 0.062144, 0.045825, -0.016319, -0.001091, 0.000000, -12.136467
STEERING (cc, dc, e, i, d, s): 0.061560, 0.041968, -0.019592, -0.001070, -0.000000, -17.570078
STEERING (cc, dc, e, i, d, s): 0.061082, 0.041968, -0.019115, -0.000902, 0.000000, -18.100688
STEERING (cc, dc, e, i, d, s): 0.059968, 0.038567, -0.021401, -0.001828, -0.000000, -23.248421
STEERING (cc, dc, e, i, d, s): 0.058165, 0.038567, -0.019598, -0.001294, 0.000000, -22.610685
STEERING (cc, dc, e, i, d, s): 0.056680, 0.037502, -0.019178, -0.001103, -0.000000, -23.465619
STEERING (cc, dc, e, i, d, s): 0.053605, 0.037502, -0.016103, -0.000723, 0.000000, -20.523441
STEERING (cc, dc, e, i, d, s): 0.050161, 0.034570, -0.015590, -0.001415, -0.000000, -21.651829
STEERING (cc, dc, e, i, d, s): 0.044917, 0.034570, -0.010347, -0.000686, 0.000000, -15.950046
STEERING (cc, dc, e, i, d, s): 0.040417, 0.030000, -0.010417, -0.000537, -0.000000, -16.710353
STEERING (cc, dc, e, i, d, s): 0.037189, 0.030000, -0.007189, -0.000364, 0.000000, -13.127306
STEERING (cc, dc, e, i, d, s): 0.030946, 0.016790, -0.014156, -0.001219, -0.000000, -23.368992
STEERING (cc, dc, e, i, d, s): 0.025288, 0.016790, -0.008499, -0.000571, 0.000000, -17.004862
