x, y, theta, v, timestamp, left_img, right_img
7757961.616,-363655.254,-1.197,8.017,1397835406.3633010387420654296875000,1397835406.3633010387420654296875000.bb08.l.png,1397835406.3633010387420654296875000.bb08.r.png
7757961.962,-363656.182,-1.222,7.835,1397835406.4882879257202148437500000,1397835406.4882879257202148437500000.bb08.l.png,1397835406.4882879257202148437500000.bb08.r.png
7757962.242,-363657.003,-1.247,7.639,1397835406.6132900714874267578125000,1397835406.6132900714874267578125000.bb08.l.png,1397835406.6132900714874267578125000.bb08.r.png
7757962.543,-363657.964,-1.274,7.812,1397835406.7382969856262207031250000,1397835406.7382969856262207031250000.bb08.l.png,1397835406.7382969856262207031250000.bb08.r.png
7757962.773,-363658.835,-1.319,7.691,1397835406.8632690906524658203125000,1397835406.8632690906524658203125000.bb08.l.png,1397835406.8632690906524658203125000.bb08.r.png
7757962.995,-363659.797,-1.328,7.772,1397835406.9883139133453369140625000,1397835406.9883139133453369140625000.bb08.l.png,1397835406.9883139133453369140625000.bb08.r.png
7757963.186,-363660.595,-1.344,7.673,1397835407.1133019924163818359375000,1397835407.1133019924163818359375000.bb08.l.png,1397835407.1133019924163818359375000.bb08.r.png
7757963.341,-363661.535,-1.381,7.732,1397835407.2383689880371093750000000,1397835407.2383689880371093750000000.bb08.l.png,1397835407.2383689880371093750000000.bb08.r.png
7757963.479,-363662.459,-1.404,7.646,1397835407.3633799552917480468750000,1397835407.3633799552917480468750000.bb08.l.png,1397835407.3633799552917480468750000.bb08.r.png
7757963.587,-363663.433,-1.451,7.662,1397835407.4883809089660644531250000,1397835407.4883809089660644531250000.bb08.l.png,1397835407.4883809089660644531250000.bb08.r.png
7757963.702,-363664.309,-1.469,7.572,1397835407.6133830547332763671875000,1397835407.6133830547332763671875000.bb08.l.png,1397835407.6133830547332763671875000.bb08.r.png
7757963.754,-363665.287,-1.508,7.552,1397835407.7382769584655761718750000,1397835407.7382769584655761718750000.bb08.l.png,1397835407.7382769584655761718750000.bb08.r.png
7757963.804,-363666.177,-1.530,7.529,1397835407.8632900714874267578125000,1397835407.8632900714874267578125000.bb08.l.png,1397835407.8632900714874267578125000.bb08.r.png
7757963.836,-363667.090,-1.543,7.518,1397835407.9883289337158203125000000,1397835407.9883289337158203125000000.bb08.l.png,1397835407.9883289337158203125000000.bb08.r.png
7757963.801,-363668.018,-1.599,7.455,1397835408.1133630275726318359375000,1397835408.1133630275726318359375000.bb08.l.png,1397835408.1133630275726318359375000.bb08.r.png
7757963.773,-363668.876,-1.622,7.404,1397835408.2382929325103759765625000,1397835408.2382929325103759765625000.bb08.l.png,1397835408.2382929325103759765625000.bb08.r.png
7757963.729,-363669.801,-1.666,7.332,1397835408.3632709980010986328125000,1397835408.3632709980010986328125000.bb08.l.png,1397835408.3632709980010986328125000.bb08.r.png
7757963.633,-363670.748,-1.678,7.386,1397835408.4883320331573486328125000,1397835408.4883320331573486328125000.bb08.l.png,1397835408.4883320331573486328125000.bb08.r.png
7757963.469,-363671.584,-1.705,7.361,1397835408.6133270263671875000000000,1397835408.6133270263671875000000000.bb08.l.png,1397835408.6133270263671875000000000.bb08.r.png
7757963.334,-363672.422,-1.744,7.350,1397835408.7383170127868652343750000,1397835408.7383170127868652343750000.bb08.l.png,1397835408.7383170127868652343750000.bb08.r.png
7757963.136,-363673.325,-1.755,7.329,1397835408.8633160591125488281250000,1397835408.8633160591125488281250000.bb08.l.png,1397835408.8633160591125488281250000.bb08.r.png
7757962.982,-363674.073,-1.800,7.271,1397835408.9883189201354980468750000,1397835408.9883189201354980468750000.bb08.l.png,1397835408.9883189201354980468750000.bb08.r.png
7757962.715,-363674.939,-1.821,7.208,1397835409.1133239269256591796875000,1397835409.1133239269256591796875000.bb08.l.png,1397835409.1133239269256591796875000.bb08.r.png
7757962.519,-363675.756,-1.833,7.206,1397835409.2382791042327880859375000,1397835409.2382791042327880859375000.bb08.l.png,1397835409.2382791042327880859375000.bb08.r.png
7757962.248,-363676.628,-1.879,7.208,1397835409.3633298873901367187500000,1397835409.3633298873901367187500000.bb08.l.png,1397835409.3633298873901367187500000.bb08.r.png
7757961.964,-363677.441,-1.889,7.208,1397835409.4883160591125488281250000,1397835409.4883160591125488281250000.bb08.l.png,1397835409.4883160591125488281250000.bb08.r.png
7757961.667,-363678.187,-1.926,7.116,1397835409.6133289337158203125000000,1397835409.6133289337158203125000000.bb08.l.png,1397835409.6133289337158203125000000.bb08.r.png
7757961.344,-363679.047,-1.942,7.040,1397835409.7383010387420654296875000,1397835409.7383010387420654296875000.bb08.l.png,1397835409.7383010387420654296875000.bb08.r.png
7757960.987,-363679.803,-1.974,7.161,1397835409.8633260726928710937500000,1397835409.8633260726928710937500000.bb08.l.png,1397835409.8633260726928710937500000.bb08.r.png
7757960.612,-363680.633,-2.001,7.139,1397835409.9882950782775878906250000,1397835409.9882950782775878906250000.bb08.l.png,1397835409.9882950782775878906250000.bb08.r.png
7757960.241,-363681.432,-2.022,7.179,1397835410.1133410930633544921875000,1397835410.1133410930633544921875000.bb08.l.png,1397835410.1133410930633544921875000.bb08.r.png
7757959.813,-363682.181,-2.065,7.161,1397835410.2382609844207763671875000,1397835410.2382609844207763671875000.bb08.l.png,1397835410.2382609844207763671875000.bb08.r.png
7757959.411,-363682.934,-2.077,7.226,1397835410.3633239269256591796875000,1397835410.3633239269256591796875000.bb08.l.png,1397835410.3633239269256591796875000.bb08.r.png
7757958.917,-363683.694,-2.099,7.201,1397835410.4883019924163818359375000,1397835410.4883019924163818359375000.bb08.l.png,1397835410.4883019924163818359375000.bb08.r.png
7757958.459,-363684.462,-2.142,7.343,1397835410.6133389472961425781250000,1397835410.6133389472961425781250000.bb08.l.png,1397835410.6133389472961425781250000.bb08.r.png
