timestamp 1655648239.494492, valid 1, tt 4.65129616, a -0.28224666, vf 0.00000000, sf 0.00000000, s 21.38951844
timestamp 1655648239.576795, valid 1, tt 4.76775064, a -0.28328088, vf 0.00000000, sf 0.00000000, s 21.64640809
timestamp 1655648239.618075, valid 1, tt 4.71241900, a -0.27886722, vf 0.00000000, sf 0.00000000, s 21.30925399
timestamp 1655648239.671094, valid 1, tt 4.76822709, a -0.29227680, vf 0.00000000, sf 0.00000000, s 21.37207040
timestamp 1655648239.779274, valid 1, tt 4.77012240, a -0.29639701, vf 0.00000000, sf 0.00000000, s 21.08187543
timestamp 1655648239.837215, valid 1, tt 4.90469915, a -0.29606953, vf 0.00000000, sf 0.00000000, s 21.40181048
timestamp 1655648239.871639, valid 1, tt 4.85469804, a -0.29283665, vf 0.00000000, sf 0.00000000, s 21.10959873
timestamp 1655648239.949411, valid 1, tt 4.82818241, a -0.30545453, vf 0.00000000, sf 0.00000000, s 20.78992346
timestamp 1655648240.064300, valid 1, tt 4.96011576, a -0.30314496, vf 0.00000000, sf 0.00000000, s 21.07049415
timestamp 1655648240.158822, valid 1, tt 4.85846478, a -0.29723653, vf 0.00000000, sf 0.00000000, s 20.49409229
timestamp 1655648240.244043, valid 1, tt 5.08525217, a -0.28799085, vf 0.00000000, sf 0.00000000, s 21.05995073
timestamp 1655648240.279393, valid 1, tt 5.03230426, a -0.28468252, vf 0.00000000, sf 0.00000000, s 20.76041559
timestamp 1655648240.322386, valid 1, tt 5.16100724, a -0.29176561, vf 0.00000000, sf 0.00000000, s 21.01633629
timestamp 1655648240.391061, valid 1, tt 5.12580732, a -0.28738421, vf 0.00000000, sf 0.00000000, s 20.78911772
timestamp 1655648240.499098, valid 1, tt 5.14862503, a -0.29285067, vf 0.00000000, sf 0.00000000, s 20.53883705
timestamp 1655648240.537178, valid 1, tt 5.03283685, a -0.29011838, vf 0.00000000, sf 0.00000000, s 19.95700417
timestamp 1655648240.600161, valid 1, tt 5.34076197, a -0.28057936, vf 0.00000000, sf 0.00000000, s 20.76044185
timestamp 1655648240.646298, valid 1, tt 5.38992905, a -0.28266214, vf 0.00000000, sf 0.00000000, s 20.53215636
timestamp 1655648240.789937, valid 1, tt 5.59268108, a -0.27596614, vf 0.00000000, sf 0.00000000, s 20.83345873
timestamp 1655648240.903168, valid 1, tt 5.76100994, a -0.26689504, vf 0.00000000, sf 0.00000000, s 20.85149372
timestamp 1655648241.033299, valid 1, tt 5.75220822, a -0.24137582, vf 0.00000000, sf 0.00000000, s 20.39069155
timestamp 1655648241.168287, valid 1, tt 6.10509647, a -0.23240719, vf 0.00000000, sf 0.00000000, s 20.97787464
timestamp 1655648241.266644, valid 1, tt 6.09548400, a -0.21018304, vf 0.00000000, sf 0.00000000, s 20.52516805
timestamp 1655648241.361182, valid 1, tt 6.23969904, a -0.22651985, vf 0.00000000, sf 0.00000000, s 20.59818475
timestamp 1655648241.395772, valid 1, tt 6.25715132, a -0.20048584, vf 0.00000000, sf 0.00000000, s 20.15852438
timestamp 1655648241.436370, valid 1, tt 6.54757649, a -0.20649040, vf 0.00000000, sf 0.00000000, s 20.51692044
timestamp 1655648241.477459, valid 1, tt 6.87531539, a -0.20474069, vf 0.00000000, sf 0.00000000, s 20.87060732
timestamp 1655648241.544145, valid 1, tt 7.01551975, a -0.20784322, vf 0.00000000, sf 0.00000000, s 20.67926491
timestamp 1655648241.660079, valid 1, tt 7.16348875, a -0.20894889, vf 0.00000000, sf 0.00000000, s 20.52428859
timestamp 1655648241.764505, valid 1, tt 7.50201537, a -0.20174861, vf 0.00000000, sf 0.00000000, s 20.86919237
timestamp 1655648241.804139, valid 1, tt 7.49383391, a -0.18831450, vf 0.00000000, sf 0.00000000, s 20.46303508
timestamp 1655648241.843922, valid 1, tt 7.79320345, a -0.18734686, vf 0.00000000, sf 0.00000000, s 20.82781868
timestamp 1655648241.939413, valid 1, tt 7.79908100, a -0.17929306, vf 0.00000000, sf 0.00000000, s 20.60288161
timestamp 1655648242.004661, valid 1, tt 8.17653716, a -0.17096666, vf 0.00000000, sf 0.00000000, s 20.99120554
timestamp 1655648242.128675, valid 1, tt 8.18891638, a -0.16415420, vf 0.00000000, sf 0.00000000, s 20.80323544
timestamp 1655648242.250103, valid 1, tt 8.55898666, a -0.15304252, vf 0.00000000, sf 0.00000000, s 21.02435067
timestamp 1655648242.392684, valid 1, tt 8.52815479, a -0.14091397, vf 0.00000000, sf 0.00000000, s 20.48744349
timestamp 1655648242.476047, valid 1, tt 8.97041691, a -0.12874954, vf 0.00000000, sf 0.00000000, s 20.80046275
timestamp 1655648242.632923, valid 1, tt 9.02266139, a -0.12080828, vf 0.00000000, sf 0.00000000, s 20.62870917
timestamp 1655648242.781511, valid 1, tt 9.21520044, a -0.12415832, vf 0.00000000, sf 0.00000000, s 20.81949870
timestamp 1655648242.845426, valid 1, tt 9.43992324, a -0.09915119, vf 0.00000000, sf 0.00000000, s 20.34467794
timestamp 1655648242.970609, valid 1, tt 9.77842253, a -0.09774535, vf 0.00000000, sf 0.00000000, s 20.69469698
timestamp 1655648243.137870, valid 1, tt 9.87451331, a -0.08741349, vf 0.00000000, sf 0.00000000, s 20.44072360
timestamp 1655648243.265414, valid 1, tt 10.29201737, a -0.07837387, vf 0.00000000, sf 0.00000000, s 20.56275001
timestamp 1655648243.417462, valid 1, tt 10.33437049, a -0.07146965, vf 0.00000000, sf 0.00000000, s 20.29583787
timestamp 1655648243.626863, valid 1, tt 11.08670483, a -0.06077396, vf 0.00000000, sf 0.00000000, s 20.97658716
timestamp 1655648243.826955, valid 1, tt 11.13491082, a -0.05238204, vf 0.00000000, sf 0.00000000, s 20.56386455
timestamp 1655648244.066119, valid 1, tt 11.66801208, a -0.04294086, vf 0.00000000, sf 0.00000000, s 20.65423504
timestamp 1655648244.209985, valid 1, tt 11.76178508, a -0.03364620, vf 0.00000000, sf 0.00000000, s 20.20099878
timestamp 1655648244.308219, valid 1, tt 12.68126218, a -0.02682862, vf 0.00000000, sf 0.00000000, s 21.02284247
timestamp 1655648244.439478, valid 1, tt 12.88350052, a -0.02558473, vf 0.00000000, sf 0.00000000, s 20.91919978
timestamp 1655648244.520459, valid 1, tt 12.71646634, a -0.02592080, vf 0.00000000, sf 0.00000000, s 20.64798301
timestamp 1655648244.696815, valid 1, tt 13.54614990, a -0.01780154, vf 0.00000000, sf 0.00000000, s 21.04516161
timestamp 1655648244.798538, valid 1, tt 13.80730354, a -0.01453371, vf 0.00000000, sf 0.00000000, s 20.84975349
timestamp 1655648244.897583, valid 1, tt 13.68505787, a -0.01466353, vf 0.00000000, sf 0.00000000, s 20.66515611
timestamp 1655648245.021623, valid 1, tt 14.51711039, a -0.00870140, vf 0.00000000, sf 0.00000000, s 21.07746166
timestamp 1655648245.216787, valid 1, tt 14.59574757, a -0.00573201, vf 0.00000000, sf 0.00000000, s 20.88033587
timestamp 1655648245.501162, valid 1, tt 15.33596312, a -0.00126353, vf 0.00000000, sf 0.00000000, s 21.15687240
timestamp 1655648245.688868, valid 1, tt 15.48938920, a 0.00363467, vf 0.00000000, sf 0.00000000, s 20.78244215
timestamp 1655648245.995298, valid 1, tt 16.26982986, a 0.00624435, vf 0.00000000, sf 0.00000000, s 21.18472258
timestamp 1655648246.257011, valid 1, tt 16.61106454, a 0.01173237, vf 0.00000000, sf 0.00000000, s 20.85419487
timestamp 1655648246.396433, valid 1, tt 16.35727280, a 0.01191441, vf 0.00000000, sf 0.00000000, s 20.53557457
timestamp 1655648246.601680, valid 1, tt 16.95154558, a 0.01961654, vf 0.00000000, sf 0.00000000, s 20.92132827
timestamp 1655648246.666362, valid 1, tt 17.11565708, a 0.02183259, vf 0.00000000, sf 0.00000000, s 20.77173103
timestamp 1655648246.792936, valid 1, tt 16.56911738, a 0.02639967, vf 0.00000000, sf 0.00000000, s 20.63650382
timestamp 1655648246.887255, valid 1, tt 16.68828227, a 0.03401549, vf 0.00000000, sf 0.00000000, s 21.08092584
timestamp 1655648246.984295, valid 1, tt 16.75486866, a 0.03528274, vf 0.00000000, sf 0.00000000, s 20.96818950
timestamp 1655648247.147330, valid 1, tt 16.38374404, a 0.04269677, vf 0.00000000, sf 0.00000000, s 20.91036811
timestamp 1655648247.286022, valid 1, tt 16.22911767, a 0.04310357, vf 0.00000000, sf 0.00000000, s 20.71302040
